"Frontaliers étrangers selon le sexe, le canton de travail, les groupes d'âges et les grands groupes de professions"

"Sexe"	"Canton"	"Classe d'âge"	"Grand groupe de profession"	"2000 T2"	"2001 T2"	"2002 T2"	"2003 T2"	"2004 T2"	"2005 T2"	"2006 T2"	"2007 T2"	"2008 T2"	"2009 T2"	"2010 T2"	"2011 T2"	"2012 T2"	"2013 T2"	"2014 T2"
"Sexe - Total"	"Suisse"	"30-34 ans"	"Professions intermédiaires"	3822.7	4012.4	4189.4	4464.3	4776.3	4866.4	5138.8	5778.7	6117.0	6179.9	6261.5	6740.9	7384.9	7729.4	7930.5
"Sexe - Total"	"Suisse"	"30-34 ans"	"Employés de type administrati"	1515.1	1637.6	1544.9	1317.5	1369.3	1498.5	1608.3	1881.1	2134.4	2484.8	2744.0	3288.5	3894.5	4558.7	5143.7
"Sexe - Total"	"Suisse"	"30-34 ans"	"Pers. des services, commerçants, vendeurs"	3882.2	4034.1	4184.7	4337.0	4437.3	4326.8	4377.1	4766.1	4783.1	4757.1	4775.4	5121.2	5496.5	5903.7	6218.8
"Sexe - Total"	"Suisse"	"30-34 ans"	"Agriculteurs, sylviculteurs"	150.2	153.8	164.1	174.3	180.0	175.8	177.3	183.7	196.8	191.1	201.1	221.6	232.8	244.6	245.7
"Sexe - Total"	"Suisse"	"30-34 ans"	"Métiers de l’industrie et de l’artisanat"	6166.2	6204.0	5829.6	5555.6	5397.2	5077.3	5042.1	5182.7	5221.3	5013.3	5042.5	5299.8	5613.3	5778.4	5962.8
"Sexe - Total"	"Suisse"	"30-34 ans"	"Conducteurs et assembleurs"	2034.6	1995.3	1872.1	1719.0	1617.8	1542.4	1551.5	1740.5	1753.8	1708.3	1714.9	1736.6	1859.0	1993.1	2054.7
"Sexe - Total"	"Suisse"	"30-34 ans"	"Professions élémentaires"	2883.8	2936.4	2807.7	2784.9	2867.1	3048.0	3343.0	3878.6	4267.0	4571.9	5191.6	5692.3	6303.1	6980.9	7630.1
"Sexe - Total"	"Suisse"	"35-39 ans"	"Grand groupe de profession - Total"	27028.3	29699.6	31064.3	31679.6	32581.0	30822.5	30691.4	32543.6	33845.3	33891.7	34771.8	36161.0	37960.4	39300.1	40842.0
"Sexe - Total"	"Suisse"	"35-39 ans"	"Non attribuable"	371.2	426.6	428.2	222.4	173.3	169.6	179.8	176.8	252.8	221.1	213.3	425.1	402.4	404.3	394.2
"Sexe - Total"	"Suisse"	"35-39 ans"	"Directeurs, cadres de direction, gérants"	1185.5	1418.6	1602.4	1932.9	2168.2	2007.4	2075.7	2279.6	2537.6	2536.2	2614.0	2726.8	2999.7	3197.3	3329.6
"Sexe - Total"	"Suisse"	"35-39 ans"	"Prof. intellectuelles et scientifiques"	3297.5	3579.1	3786.7	4095.8	4390.7	4163.3	4138.7	4424.6	4726.2	4759.6	4935.0	5061.9	5266.3	5349.2	5566.0
"Sexe - Total"	"Suisse"	"35-39 ans"	"Professions intermédiaires"	4390.4	4891.1	5185.4	5363.3	5579.0	5247.8	5237.2	5696.8	6056.7	6238.2	6449.6	6622.4	7062.1	7220.4	7549.9
"Sexe - Total"	"Suisse"	"35-39 ans"	"Employés de type administrati"	1884.4	1986.8	2051.3	1801.0	1775.9	1726.1	1750.0	1873.3	2069.6	2272.2	2447.5	2805.8	3152.0	3514.1	3845.8
"Sexe - Total"	"Suisse"	"35-39 ans"	"Pers. des services, commerçants, vendeurs"	3415.6	3867.0	4217.7	4341.7	4621.1	4590.4	4621.4	4891.2	4973.8	4791.3	4785.0	4804.3	4954.7	5104.6	5235.0
"Sexe - Total"	"Suisse"	"35-39 ans"	"Agriculteurs, sylviculteurs"	155.9	175.6	175.4	175.3	182.8	186.3	190.0	182.8	179.3	159.4	153.5	152.0	174.0	182.0	183.5
"Sexe - Total"	"Suisse"	"35-39 ans"	"Métiers de l’industrie et de l’artisanat"	6799.1	7369.7	7553.6	7546.0	7451.1	6741.9	6397.7	6475.6	6249.1	5855.0	5600.8	5591.8	5558.8	5544.9	5584.8
"Sexe - Total"	"Suisse"	"35-39 ans"	"Conducteurs et assembleurs"	2415.3	2493.7	2538.9	2625.6	2585.3	2366.8	2220.8	2250.2	2233.2	2081.1	2071.3	2093.0	2174.9	2242.0	2252.7
"Sexe - Total"	"Suisse"	"35-39 ans"	"Professions élémentaires"	3113.3	3491.3	3524.5	3575.6	3653.6	3622.8	3880.0	4292.6	4567.0	4977.3	5502.0	5877.8	6215.7	6541.4	6900.6
"Sexe - Total"	"Suisse"	"40-44 ans"	"Grand groupe de profession - Total"	21426.9	23570.1	25419.6	27312.4	29684.3	30152.0	31733.0	34445.4	36299.0	36667.1	37037.3	37896.6	39297.6	40276.1	41255.9
"Sexe - Total"	"Suisse"	"40-44 ans"	"Non attribuable"	332.5	374.7	391.4	256.3	154.3	160.0	172.2	188.0	264.2	219.4	222.0	371.0	381.7	356.2	334.5
"Sexe - Total"	"Suisse"	"40-44 ans"	"Directeurs, cadres de direction, gérants"	1047.5	1276.1	1441.1	1817.9	2128.2	2208.6	2309.8	2606.5	2963.6	3145.7	3190.6	3322.8	3445.4	3656.5	3757.9
"Sexe - Total"	"Suisse"	"40-44 ans"	"Prof. intellectuelles et scientifiques"	2352.0	2604.1	2854.9	3268.3	3686.0	3766.9	3960.6	4265.9	4494.4	4604.5	4615.9	4719.3	4892.4	5011.0	5193.1
"Sexe - Total"	"Suisse"	"40-44 ans"	"Professions intermédiaires"	3408.1	3818.9	4298.8	4771.5	5219.1	5231.1	5443.4	5920.2	6264.9	6167.9	6163.5	6260.9	6625.0	6902.8	7075.5
"Sexe - Total"	"Suisse"	"40-44 ans"	"Employés de type administrati"	1650.2	1754.6	1842.0	1691.7	1694.9	1705.9	1772.9	1968.2	2152.7	2291.1	2337.4	2550.7	2817.0	3157.0	3415.7
"Sexe - Total"	"Suisse"	"40-44 ans"	"Pers. des services, commerçants, vendeurs"	2477.6	2814.6	3124.6	3489.8	3818.4	3929.5	4180.3	4523.8	4749.8	4837.6	4875.1	4984.6	5079.3	5184.4	5255.4
"Sexe - Total"	"Suisse"	"40-44 ans"	"Agriculteurs, sylviculteurs"	103.0	112.3	128.3	150.8	165.7	161.7	171.4	173.4	173.2	175.7	178.6	178.6	182.6	163.9	169.0
"Sexe - Total"	"Suisse"	"40-44 ans"	"Métiers de l’industrie et de l’artisanat"	5423.8	5790.6	5978.6	6204.9	6693.1	6683.1	7007.6	7419.2	7438.8	7088.5	6809.4	6515.9	6502.1	6272.8	6190.6
"Sexe - Total"	"Suisse"	"40-44 ans"	"Conducteurs et assembleurs"	1978.0	2163.3	2311.6	2474.8	2660.5	2585.7	2667.8	2816.9	2848.1	2777.1	2712.8	2688.1	2631.8	2602.5	2598.3
"Sexe - Total"	"Suisse"	"40-44 ans"	"Professions élémentaires"	2654.3	2860.8	3048.2	3186.3	3464.2	3719.4	4047.1	4563.5	4949.3	5359.6	5932.0	6304.7	6740.1	6968.9	7265.8
"Sexe - Total"	"Suisse"	"45-49 ans"	"Grand groupe de profession - Total"	18790.6	19453.9	19976.7	20610.8	22048.5	22009.1	23492.9	26533.7	29058.8	30802.6	33667.3	36312.1	38877.8	40303.5	41543.4
"Sexe - Total"	"Suisse"	"45-49 ans"	"Non attribuable"	300.4	319.0	326.3	180.0	112.4	120.4	119.6	144.0	225.7	178.3	215.9	338.4	349.6	368.2	349.0
"Sexe - Total"	"Suisse"	"45-49 ans"	"Directeurs, cadres de direction, gérants"	966.3	1042.0	1100.6	1336.4	1566.4	1587.3	1752.5	2023.4	2368.8	2618.5	2943.5	3110.7	3502.5	3696.0	3852.6
"Sexe - Total"	"Suisse"	"45-49 ans"	"Prof. intellectuelles et scientifiques"	1538.7	1699.9	1890.1	2124.2	2432.9	2480.2	2716.2	3100.7	3456.1	3667.7	4020.3	4323.3	4559.2	4708.0	4864.6
"Sexe - Total"	"Suisse"	"45-49 ans"	"Professions intermédiaires"	3059.5	3197.8	3292.5	3502.0	3845.0	3766.0	4056.4	4601.4	5006.1	5297.1	5633.8	5998.1	6423.4	6617.8	6690.7
"Sexe - Total"	"Suisse"	"45-49 ans"	"Employés de type administrati"	2046.9	1922.6	1816.5	1540.9	1433.1	1396.6	1432.7	1611.1	1733.7	1890.8	2084.3	2291.4	2536.6	2784.5	3075.3
"Sexe - Total"	"Suisse"	"45-49 ans"	"Pers. des services, commerçants, vendeurs"	2027.1	2216.2	2397.5	2472.0	2672.9	2767.6	2926.5	3346.5	3608.3	3821.1	4145.1	4471.1	4734.0	4902.0	5074.5
"Sexe - Total"	"Suisse"	"45-49 ans"	"Agriculteurs, sylviculteurs"	73.7	71.7	82.1	77.3	100.0	115.1	123.0	144.0	151.3	155.1	154.3	166.6	174.8	195.7	197.1
"Sexe - Total"	"Suisse"	"45-49 ans"	"Métiers de l’industrie et de l’artisanat"	4585.0	4747.6	4799.7	4898.7	5095.3	4912.1	5155.0	5614.0	5919.3	6057.3	6408.9	6819.1	7078.5	7085.6	7058.4
"Sexe - Total"	"Suisse"	"45-49 ans"	"Conducteurs et assembleurs"	1698.4	1730.1	1737.3	1828.3	1974.9	1974.0	2102.0	2391.7	2610.2	2670.0	2745.8	2851.3	2988.4	3055.7	3030.0
"Sexe - Total"	"Suisse"	"45-49 ans"	"Professions élémentaires"	2494.6	2506.9	2534.2	2651.0	2815.7	2889.8	3108.9	3556.9	3979.2	4446.8	5315.6	5942.2	6530.7	6889.9	7351.1
"Sexe - Total"	"Suisse"	"50-54 ans"	"Grand groupe de profession - Total"	15465.6	16634.6	17171.8	17605.4	18113.0	17470.5	17674.6	18992.1	19869.7	20986.8	22987.6	25150.8	27967.9	29929.6	32547.2
"Sexe - Total"	"Suisse"	"50-54 ans"	"Non attribuable"	244.6	252.0	263.1	156.4	88.6	94.0	94.2	99.2	161.0	136.3	156.1	230.2	277.8	280.7	270.5
"Sexe - Total"	"Suisse"	"50-54 ans"	"Directeurs, cadres de direction, gérants"	839.7	932.5	983.7	1121.5	1238.8	1211.1	1221.5	1351.5	1506.3	1725.4	1904.8	2159.1	2444.0	2726.1	2969.5
"Sexe - Total"	"Suisse"	"50-54 ans"	"Prof. intellectuelles et scientifiques"	1121.2	1209.1	1225.1	1408.9	1602.6	1618.9	1724.5	1951.0	2112.5	2304.8	2573.3	2851.3	3239.4	3408.5	3667.5
"Sexe - Total"	"Suisse"	"50-54 ans"	"Professions intermédiaires"	2417.2	2636.2	2803.0	3046.9	3223.2	3091.0	3136.1	3305.9	3425.5	3623.9	3830.4	4159.3	4624.1	4946.6	5367.2
"Sexe - Total"	"Suisse"	"50-54 ans"	"Employés de type administrati"	1714.4	1891.5	1936.3	1716.2	1542.6	1435.2	1361.5	1371.4	1339.2	1350.0	1483.4	1618.0	1817.4	1915.0	2156.3
"Sexe - Total"	"Suisse"	"50-54 ans"	"Pers. des services, commerçants, vendeurs"	1661.5	1821.7	1922.1	2070.5	2188.2	2127.8	2179.2	2348.6	2392.4	2485.7	2783.9	3030.8	3332.0	3604.2	3917.5
"Sexe - Total"	"Suisse"	"50-54 ans"	"Agriculteurs, sylviculteurs"	41.6	59.5	57.5	69.7	72.4	67.7	67.9	77.6	78.7	83.1	110.1	117.7	136.7	149.4	160.4
"Sexe - Total"	"Suisse"	"50-54 ans"	"Métiers de l’industrie et de l’artisanat"	4061.7	4248.3	4203.6	4120.3	4107.9	3900.5	3907.1	4182.2	4286.2	4355.9	4543.9	4790.5	5091.5	5313.1	5697.4
"Sexe - Total"	"Suisse"	"50-54 ans"	"Conducteurs et assembleurs"	1382.9	1442.2	1500.5	1546.5	1605.4	1532.8	1547.3	1615.5	1690.9	1782.0	1994.1	2146.2	2354.9	2508.9	2671.7
"Sexe - Total"	"Suisse"	"50-54 ans"	"Professions élémentaires"	1980.8	2141.6	2276.7	2348.5	2443.4	2391.4	2435.4	2689.3	2877.0	3139.7	3607.6	4047.7	4650.1	5077.1	5669.3
"Sexe - Total"	"Suisse"	"55-59 ans"	"Grand groupe de profession - Total"	8291.5	8656.2	9462.5	10378.0	11769.4	12387.0	13144.8	14071.6	14476.9	14651.8	15746.4	16744.6	17913.1	18576.3	20004.6
"Sexe - Total"	"Suisse"	"55-59 ans"	"Non attribuable"	125.6	134.0	151.8	96.1	49.5	50.1	51.7	55.2	94.5	83.1	91.9	132.3	142.8	150.2	157.0
"Sexe - Total"	"Suisse"	"55-59 ans"	"Directeurs, cadres de direction, gérants"	491.2	511.6	570.6	692.7	856.0	916.7	992.5	1012.6	1089.9	1113.4	1193.9	1287.4	1411.6	1596.5	1742.4
"Sexe - Total"	"Suisse"	"55-59 ans"	"Prof. intellectuelles et scientifiques"	587.5	643.7	693.2	822.7	973.2	1040.6	1129.9	1233.4	1279.7	1376.5	1525.9	1688.5	1881.5	2012.8	2240.7
"Sexe - Total"	"Suisse"	"55-59 ans"	"Professions intermédiaires"	1166.6	1259.1	1423.2	1660.6	1977.7	2112.8	2227.6	2430.5	2570.9	2647.7	2784.8	2924.3	3062.8	3141.5	3344.9
"Sexe - Total"	"Suisse"	"55-59 ans"	"Employés de type administrati"	755.7	813.6	945.0	914.2	944.6	996.7	1062.9	1111.8	1125.8	1146.0	1202.5	1241.9	1279.1	1271.2	1365.3
"Sexe - Total"	"Suisse"	"55-59 ans"	"Pers. des services, commerçants, vendeurs"	961.6	987.3	1114.8	1231.7	1408.3	1498.5	1571.9	1684.4	1746.8	1712.5	1847.6	1969.3	2127.3	2137.3	2281.7
"Sexe - Total"	"Suisse"	"55-59 ans"	"Agriculteurs, sylviculteurs"	35.9	32.1	34.0	38.6	26.7	28.1	38.2	44.0	54.2	59.1	58.1	66.1	68.4	67.0	77.6
"Sexe - Total"	"Suisse"	"55-59 ans"	"Métiers de l’industrie et de l’artisanat"	2220.7	2260.5	2473.9	2632.2	2893.8	2963.6	3072.4	3212.8	3152.6	3098.5	3239.1	3397.5	3564.8	3580.2	3755.3
"Sexe - Total"	"Suisse"	"55-59 ans"	"Conducteurs et assembleurs"	802.9	828.7	846.0	907.6	1069.3	1078.4	1136.7	1233.4	1263.1	1243.7	1334.3	1414.5	1494.6	1529.6	1605.0
"Sexe - Total"	"Suisse"	"55-59 ans"	"Professions élémentaires"	1143.9	1185.5	1210.1	1381.6	1570.2	1701.5	1861.1	2053.6	2099.4	2171.1	2468.3	2622.9	2880.2	3090.0	3434.5
"Sexe - Total"	"Suisse"	"60+ ans"	"Grand groupe de profession - Total"	4069.3	4242.7	4566.7	4761.1	5327.6	5819.1	6760.7	8219.6	7451.9	7743.3	9265.6	11120.1	12952.3	12197.9	12385.6
"Sexe - Total"	"Suisse"	"60+ ans"	"Non attribuable"	54.8	61.4	63.2	33.9	20.0	24.6	29.7	41.4	48.1	39.4	44.2	67.8	93.5	87.6	91.3
"Sexe - Total"	"Suisse"	"60+ ans"	"Directeurs, cadres de direction, gérants"	239.9	257.7	294.3	323.3	390.4	439.4	509.0	643.4	603.6	648.8	796.8	951.6	1108.6	1099.5	1187.8
"Sexe - Total"	"Suisse"	"60+ ans"	"Prof. intellectuelles et scientifiques"	249.4	264.3	295.2	359.1	463.7	537.9	633.7	790.9	772.4	838.3	1011.8	1210.1	1390.8	1390.5	1504.4
"Sexe - Total"	"Suisse"	"60+ ans"	"Professions intermédiaires"	452.5	484.2	535.7	575.8	657.0	753.2	917.8	1153.2	1054.1	1162.3	1419.3	1715.1	2057.2	1913.2	1917.3
"Sexe - Total"	"Suisse"	"60+ ans"	"Employés de type administrati"	281.5	300.1	315.0	312.9	343.7	378.8	453.0	572.7	514.3	536.6	655.5	817.6	926.0	878.9	885.7
"Sexe - Total"	"Suisse"	"60+ ans"	"Pers. des services, commerçants, vendeurs"	573.4	600.3	664.9	706.8	803.7	859.6	990.8	1192.0	1058.4	1078.3	1235.5	1475.5	1669.5	1606.8	1663.1
"Sexe - Total"	"Suisse"	"60+ ans"	"Agriculteurs, sylviculteurs"	45.3	50.0	52.8	58.4	53.3	52.7	54.3	64.7	51.6	45.4	39.9	44.7	64.0	73.0	64.9
"Sexe - Total"	"Suisse"	"60+ ans"	"Métiers de l’industrie et de l’artisanat"	1073.0	1074.1	1130.8	1149.8	1225.5	1312.2	1482.8	1756.9	1488.8	1517.1	1785.1	2113.6	2428.5	2164.7	2051.3
"Sexe - Total"	"Suisse"	"60+ ans"	"Conducteurs et assembleurs"	386.3	393.6	418.8	453.3	473.3	529.1	613.3	719.3	635.1	630.0	770.8	911.2	1057.6	945.9	932.6
"Sexe - Total"	"Suisse"	"60+ ans"	"Professions élémentaires"	713.2	757.0	796.0	787.9	897.0	931.6	1076.5	1285.1	1225.5	1247.1	1506.8	1813.0	2156.7	2037.7	2087.2
